Category,Resume
DESIGNER,floral designer summary personable customer service associate dedicated to providing the highest level of customer service outgoing and efficient with the capacity to multi task highlights floral designer inventory control organized employee scheduling placing orders in person and over the phone cash handling and banking customer service excellent multi tasker experience june 2013 to march 2016 company name city state floral designer designed arrangements for wide range of events which included wedding and corporate parties i did all of the prep work as well i kept the showroom clean and maintained properly for display january 2011 to december 2012 company name city state floral designer opened and closed the store which included counting cash drawers and making bank deposits helped customers select products that best fit their personal needs as well as floral designing april 2008 to august 2009 company name city state cashier cashier main function in addition helped unloaded trucks stocked shelves and carried merchandise out on the floor for customers marked clearance products with updated price tags october 2002 to april 2008 company name city state manager floral designer opened and closed the store which included counting cash drawers and making bank depositsmaintained visually appealing and effective displays for the entire store answered customers questions and addressed problems and complaints in person and via phone helped customers select products that best fit their personal needs as well as design floral arrangements for the cooler display and for outgoing orders education northwestern college city state dupage medical assistant
DESIGNER,lighting designer professional summary computer savvy and proficient with design tools for architecture and electro mechanical design job title who continually searches for new inspiration and stays savvy on current design trends proficient in adobe indesign sketchup and rhino job title whose multi faceted specialty ranges from design of accessories and furniture to lighting design motivated visual merchandising designer involved in all stages of design from product inception and development to production results oriented job title who delivers cutting edge and creative designs within strict time frames organized interior designer adept at multi tasking and developing creative solutions successfully coordinates with vendors and manages construction teams with ease skills building codes knowledge design process complex problem solving carpentry strong analytical ability sketching excellent attention to detail rendering commercial interior design digital drafting working drawings and procedures 3d rendering software space planning methodology proficient in sketchup work history lighting designer 12 2013 to 11 2014 company name city state interfaced with design team members including contractors consultants fabricators architects and regulatory agencies specified proper products and materials for each project carefully reviewed contractor submittals of finish materials specified proper products and materials for each project prepared construction documents and details to implement design concepts originated and developed creative design concepts architectural and electrical design drafter 03 2008 to 12 2013 company name city state architectural and electrical design drafting successfully resolved complex technical design issues interfaced with design team members including contractors consultants fabricators architects and regulatory agencies carefully reviewed contractor submittals of finish materials specified proper products and materials for each project originated and developed creative design concepts prepared construction documents and details to implement design concepts architecture intern 05 2007 to 02 2008 company name city state consulted with clients to determine architectural preference to meet overall design goals interfaced with design team members including contractors consultants fabricators architects and regulatory agencies carefully reviewed contractor submittals of finish materials specified proper products and materials for each project facilitated requests regarding product information installation methods and product upgrade options originated and developed creative design concepts prepared construction documents and details to implement design concepts senior electro mechanical designer ceo 01 1990 to 01 2005 company name city state raytheon e systems motorola cadence consulted with clients to determine architectural preference to meet overall design goals researched industry in the area of green building and environmental design assisted clients with budget considerations regarding products and materials successfully resolved complex technical design issues interfaced with design team members including contractors consultants fabricators architects and regulatory agencies facilitated requests regarding product information installation methods and product upgrade options originated and developed creative design concepts prepared construction documents and details to implement design concepts senior electro mechanical designer 02 1986 to 11 1989 company name city state successfullyresolved complex technical design issues interfaced with design team members including contractors consultants fabricators architects and regulatory agencies specified proper products and materials for each project originated and developed creative design concepts prepared construction documents and details to implement design concepts design drafter 05 1980 to 01 1986 company name city state consulted with clients to determine architectural preference to meet overall design goals successfully resolved complex technical design issues interfaced with design team members including contractors consultants fabricators architects and regulatory agencies specified proper products and materials for each project originated and developed creative design concepts prepared construction documents and details to implement design concepts education bachelor of fine arts interior architecture 2013 the university of north carolina city interior architecture bim and design graphics coursework continuing coursework in sustainable design architecture coursework color theory and perspective course historic conservation adaptive re use sustainable design practices energy efficiency in the building envelope historic preservation sustainable design practices energy efficiencies in the building envelope associates applied science architecture technology wake technical community college applied science architecture technology recipient of home builders association scholarship recipient of merit scholarship building construction seminar bim and design graphics coursework architecture coursework officer of architectural club construction materials methods building codes solar technology civil engineering construction estimating project management drafting certificate electrical and mechanical 1980 island drafting technical institute city state accomplishments lighting design for rex hospital and duke stadium press tower skills autocad cadence client documentation drafting estimating leadership team lead lighting materials meetings motorola presentations press project management
DESIGNER,product designer professional summary 4 5 years engineering experience and 1 2 years working experience able to work independently and under pressure detail oriented excellent problem solver innovator efficient mechanical engineer leveraging a strong technical background in bringing products from the laboratory to mass manufacturing mechanical engineer with number years of training in varied industries including manufacturing and high tech environments creative manufacturing engineer lead team member on process redesign for describe product design engineer who has worked on number new products including the product name recognized for industry excellence skills cad complex problem solving stress analysis training component functions and testing requirements engine components pumps and fuel systems knowledgefea toolsautocad proficientteam technical direction and leadershipmanufacturing systems integrationmanufacturing systems integration product strategies works well in diverse team environment strong decision maker work history product designer 10 2014 to current company name city state the team wants to develop a portable easily shipped cost effective hardware that can send and receive digital content directly from satellites personally involve with prototype designing and 3d modeling cooperating with a startup called outernet https wwwouternetis en a for profit media company that already has two satellites covering north america europe and the middle east and has recently started broadcasting free internet content assisting drafters in developing the structural design of products using drafting tools or computer assisted design cad or drafting equipment and software completing project mechanical design while providing technical solutions feedback product design 09 2014 to current company name city state two engineers and designers to collaborate together to create new innovative wearable pieces for a fashion show competition will access new makerspce which includes a 3d printer will be given a 500 budget to create their wearable piece research ecoprt research assistant 01 2014 to 05 2014 company name city state the goal is to develop an economical automated transit system it will focus on the hands on design and development of a small manned autonomous vehicle wwwecoprtcom the key in the design is to understand the impact weight has on the overall cost and performance and the incorporation of automated control aspects of the development will possibly include product design 01 2014 to 05 2014 company name city state volunteer the purpose of this project is to design and fabricate a cable management system for a public access electric experience vehicle charging station this system will dispense and retract 20 feet of cable for operation and provide secured storage for the cable when not in use the prototype will be subjected to the following constraints team member 10 2013 to 04 2014 company name city state attending scheduled control and mechanical teams training classes experience learned shop safety vehicle glider equations drive cycle modeling and simulation learned the powertrain architecture and components of the 2013 chevrolet malibu learned vehicle dynamics and practiced model simulation by using matlab simulink mechanical engineering components design project material design material design 10 2013 to 04 2014 company name city state designed fillet welds connections and bolts for the plate girder which holds the pipe with horizontal and vertical force loads calculated the related shear or bending stresses for the welds and bolts to determine the right materials and sizes of welds thickness and bolts eddy current dyno research assistant 09 2013 to 05 2014 company name city state built the engine stander for our engine and eddy current dynamometer currently installing the eddy current dynamometer with graduate students future possibility of experimenting with torque horsepower rpm egr exhaust gas recirculation and temperature measurements of the kubota diesel engine after installation possibility of learning the engine tuning research assistant 06 2013 to 08 2013 company name city state graphed sketches and figures for professors thermodynamics ebook learned how to use smartdraw performed literature reviews on ongoing research topics and ebook materials added video links and real world images to the ebook program assistant 05 2013 to 06 2013 company name city state assisting dr eischen the director of the hangzhou engineering study abroad program at zhejiang university during his program this coming summer helping with tasks such as translating program activities running errands classes transportation and culture immersion 2323 04 2013 to 10 2013 company name city state designed airplane landing gear by modeling with a mass spring damper sdof system and designing the spring k and damper c that limits the given amplitude part 2 wew 10 2012 to 04 2013 company name city state utilized matlab for statistical analysis of an elastic band rocket learned how to make experimental designs statistical processes statistics simulations and graphical displays of data on computer workstations used statistical methods including point and interval estimation of population parameters and curve and surface fitting regression analysis graphic communications project 3d design rer 10 2012 to 04 2013 company name city state utilized solidworks to design a tape floss container developed the ability to use solidworks within the context of a concurrent design process to understand how everyday objects are designed and created emphasis placed on decision making processes involving creating geometry and the development of modeling strategies that incorporate the intentions of the designer re 02 2009 to 04 2009 company name city state visited construction sites with senior engineers kept record of site investigations dealt with paperwork with senior engineers and answered phone calls helped install residential wiring in new construction sites investigated electrical problems and developed the ability to read electrical diagrams and wire electrical panels education master of science mechanical engineering robotic manufacture current columbia university in the city of new york city state sep 2015 dec mechanical engineering robotic manufacture coursework in advanced mechanical engineering coursework in drafting computer aided design cad and computer aided manufacturing cam bachelor of science mechanical engineering 1 2010 north carolina state university raleigh ncsu city state gpa magna cum laude gpa 35 gpa 363 40 mechanical engineering magna cum laude gpa 35 gpa 363 40 north carolina state university gpa magna cum laude magna cum laude accomplishments listed in the deans list for three semesters during junior and senior year chosen to be on the cover of nc state freshman admissions booklet in the process of receiving the professional development certificate ncsu chinese basketball team player math and physics club member control and mechanical team member of ncsu ecocar2 took the global training class at nc state university cusa member chinese undergraduate student association skills 3d 3d modeling autocad broadcasting budget c cable chinese com hardware content controller data analysis dec decision making designing product design english fashion focus fortran frame graphic lathe linux director maple materials matlab mechanical mechanical engineering access mill modeling navigation printer processes profit speaking python quantitative analysis reading read research safety simulation sketching solidworks statistical analysis statistics phone translating transportation video welding wiring written
DESIGNER,mechanical designer summary im offering over twenty eight 28 years of extensive working knowledge of the principles theories and concepts in the design engineering field a self motivated assertive individual who learns quickly accepts new challenges works well independently and also in team environments lives up to high personal standards integrity ethics pro actively demonstrates good interface communication task management highlights 3d model part design and assembly development heavy and light structural frame design and aluminum mounting platform design including bom generation strong under standing of hydraulic components and able to do troubleshooting with the create weight distribution analysis as well as present ability to develop and improve hydraulic circuits from existing schematics findings and able to defend assumptions experience company name may 2013 to july 2015 mechanical designer city state as a member of the research and technology team i was able to be a part of several projects focused on saving the company money by reducing down time of equipment use of tested and approved quality parts and material designs were developed with the use of creo parametric 20 windchill and autodesk inventor 2015 designed tested and implemented a pneumatic circuit to insure proper conditions existed prior to engaging and dis engaging the clutch on the frac pump units this circuit protects the clutch from premature failure and unnecessary ware investigated fluid end failures and corrected drawing errors related to seat angel this significantly increased the life of the fluid ends created approved source control drawings for the fluid end valves and seats witch eliminated the use of misaligned seat and premature washouts of the fluid ends designed a cross unit manifold used to connect up to twenty two 22 frac pumps to run off natural gas or field gas this significantly reduced fuel cost across the fleet of frac pumps troubleshot and redesigned the hydraulic circuit on the fleets sand conveyers this redesign significantly reduced down time and reduced the amount of training needed for field hands troubleshot and redesigned the hydraulic circuit on a potential venders sand conveyor to correct an issue they were not able to correct this redesign involved changing the spool in the pvg valve and installing a cross port relief valve and some re plumbing of the hydraulic circuit troubleshot and corrected the spillage of sand from the sand conveyors this reduced the amount of down time related to sand cleanup and removal designed a dust control system for the companys fleet of sand kings company name april 2011 to may 2013 mechanical designer city state as a member of the coil tubing unit ctu team i help to ensure our design and manufactured products meet the rigorous industry standards established by the american petroleum institute and the international standards organization by the use of 3d parametric model generation and manipulation using autodesk inventor pro 2012 routed systems tube and pipe and autodesk vault professional 2102 create weight distribution analysis as well as present findings and able to defend assumptions ctu trailer layout redesigned to eliminate costly manufacturing rework errors and confusion hydraulic wet kit assembly and frame design heavy and light structural frame design and aluminum mounting platform design capable of setting up 3d models for use with the integrated autodesk stress analysis fea with the understanding of setting the convergence material constraints and loads with the ability to interpret hot spots and make adjustments to the model have knowledge of and can apply the use of section modulus tables to determine how one shape compares to another in strength for a directional load able to research possible problems with material selection or component interface and present options vendor purchasing q a sit ins for second sourcing prospects direct and indirect interaction with customer regarding additional customer supplied hardware installations take initiative to procure data research and make contacts in order to bring viable solutions to the forefront company name january 2009 to february 2010 planning engineer city state applied aerodynamics inc is a faa easa repair station and is focused on but not limited to repair overhaul manufacturing of flight control surfaces and aircraft composites i was responsible for the planning of incoming repair orders for aviation parts and for repair station planning and work instruction for aircraft components from minor skin repairs to complete rib skin and spar replacement as planning engineer i also created and developed internal procedures and assured compliance to the d1 51991 digital product definition dpd for boeing suppliers the successful on sight boeing dpd audit allowed applied aerodynamics to begin downloading receiving and or using dpd data for manufacturing and repair of boeing parts i interact with contracts customer service engineering purchasing and internal fabrication shops i would review orders and procedures for process improvements as planning engineer i was also heavily involved in the parts manufacturer approval pma development at applied aerodynamics parts manufacturer approval pma is an approval granted by the united states federal aviation administration faa to a manufacturer of aircraft parts company name october 2006 to december 2008 senior manufacturing planner city state aeroparts manufacturing and repair is focused on sheet metal detail parts assemblies and drop hammer stampings the faa easa repair station overhauls metal and fiberglass ducting for large commercial aircraft as sr planner i was responsible for the planning of all incoming production orders for new aviation parts and for repair station planning and work instruction for aircraft components i interact with contracts customer service engineering purchasing and internal fabrication shops i would review orders and procedures for process improvements i would ensure that all customer requirements are verified in existing orders and reviewed in new orders before releasing to subsequent operations i reviewed all job folders customer requirements and developed a plan to have the parts manufactured based on the contractual requirements i would develop a master shop traveler by inputting information per purchase order and or drawing assign a task number traveler number input manufacturing instructions sequences and inspection points as required input specifications verification and testing needs etc into job costing system create and print the shop traveler as senior manufacturing planner i would release shop traveler to production stores for issuance of product materials and or tooling required to begin production flow i would also review completed travelers for approved changes made during production categorize required changes has either one time deviation only or required on future production if changes are required for future production then enter changes into system and forward that information to the contract department for pricing adjustments on future sales i was also responsible for conduct technical and estimating support by researching and reviewing work order requirements as requested by production quality and or management as well as providing lead time estimates manufacturing methods historical planning information etc i was responsible for the planning of all incoming production orders for new aviation parts and for repair station planning and work instruction for aircraft components i interact with contracts customer service engineering purchasing and internal fabrication shops i would review orders and procedures for process improvements company name june 2004 to july 2006 senior mechanical designer city state i was responsible for designing electro mechanical assemblies for mobile command and communications systems for military and commercial applications such as the beyond line of sight high mobility digital group multiplexer assemblage blos hmda blos hmda is housed in an s805 shelter it is mounted and transported on an ecv hmmwv the design employs a rack mounting system for mounting electronics and equipment that is based on eia standards included but not limited to my responsibilities are troubleshooting existing solid models generating new solid models and supporting documentation for the following sheet metal fabrication assemblies and subassemblies welding punching forming and machining electro mechanical assemblies and subassemblies cable and harness assemblies all design and documentation were prepared using solidworks rev 2004 and rev 2005 in compliance mil std 100e ansi y145m 1982 asme y145 1994 requirements and industry standards company name june 2002 to november 2003 senior mechanical designer city state the us department of energys waste isolation pilot plant wipp is the worlds first underground repository licensed to safely and permanently dispose of excess transuranic radioactive waste from research and production of nuclear weapons project facilities include disposal rooms mined 2150 feet underground in a 2000 foot thick salt formation in my position as the senior mechanical designer i supported design and documentation of the following projects associated with remote handling of transuranic radioactive waste underground radios continues air monitoring cam remote alarm filter clip 2 ½ ton jib crane for the cask preparation station radiation source holders elevated work platform for cask preparation station shrouded probe assemblies hydraulic wrench system for 10 160b casks 10 160b road cask lid vent tool underground ventilation system and underground bulkhead assemblies company name august 1996 to june 2001 senior mechanical designer city state supported design and documentation of electro mechanical packaging of data acquisition electronics instrumentation missile and satellite guidance systems utilizing global positioning system gps units are connected to multiple sensors and actuators throughout an expendable launch vehicle such as atlas iiar delta ii and delta iii supported new product design by provided all supporting design and documentation of tooling wiring fixtures and assembly fixtures for programs i was assigned design layouts assembly drawings parts list and engineering details were generated in autocad r14 in compliance with mil std 100e ansiy145m 1982 asmey145 1994 requirements presented design proposals to management and our customers company name august 1994 to march 1996 senior mechanical designer city state specialized in mechanical engineering aerospace design and electro mechanical packaging of black boxes generated autocad r12 design layouts assembly drawings and engineering details from verbal instructions and engineering sketches to dod std 100c mil std 100e and corporate standards established datums dimensions geometric tolerances to ansi y145m 1982 requirements and application of standard notes material call outs and generation of parts list performed change order tracking statistical data and checking functions maintained web based mechanical parts library developed solutions and provided technical assistance to internal engineering troubleshooting configuration management change order problems company name october 1992 to august 1994 senior mechanical designer city state extensive design technology and manufacturing of vertical and horizontal shaft high velocity impact crushers and associated components castings precision machinery and other heavy mining structural steel and industrial equipment analyze and investigate pertinent design factors such as ease of manufacturing availability of materials and equipment interchangeability replaceability strength weight efficiency and contractual specification requirements design and produce layouts of complex assemblies detail parts of devices mechanisms and structures of high velocity impact rock crushing manufacturing equipment develop new product process and service concepts provide technical advice and project leadership to management strong customer internal and subcontractor interface and coordination communicate with line manufacturing engineering regarding tool needs and change orders resolve technical problems on designs to assure cost effective manufacturing production and workable tooling apply tolerance specifications and make decisions as to whether tolerances could be met recommend tooling changes for a cost effective production supervised generation of drawings to mil spec and ansi standards audited layouts and drawings for clarity completeness standards procedures specifications and for accuracy of calculations and dimensions company name june 1986 to october 1992 senior mechanical designer city state specialized in mechanical engineering aerospace design and electro mechanical packaging of black boxes generated autocad r12 design layouts assembly drawings and engineering details from verbal instructions and engineering sketches to dod std 100c mil std 100e and corporate standards established datums dimensions geometric tolerances to ansi y145m 1982 requirements and application of standard notes material call outs and generation of parts list performed change order tracking statistical data and checking functions maintained web based mechanical parts library developed solutions and provided technical assistance to internal engineering troubleshooting configuration management change order problems education hydraulics training 2012 certification completed 60 hours industrial hydraulics training level i level ii and hydraulic trouble shooting federal aviation administration 2004 license private pilots license earned federal aviation administration faa private pilots license new mexico state university 2003 pro engineer certification pro engineer city state completed certification program for pro engineer south plains college 1986 associates degree drafting technology city state applied science drafting technology affiliations aircraft owners and pilots association aopa member accomplishments capable of setting up 3d models for use with the integrated autodesk stress analysis fea with the understanding of setting the convergence material constraints and loads with the ability to interpret hot spots and make adjustments to the model have knowledge of and can apply the use of section modulus tables to determine how one shape compares to another in strength for a directional load able to research possible problems with material selection or component interface and present options direct and indirect interaction with customer regarding additional customer supplied hardware installations 3d model part design and assembly development including bom generation take initiative to procure data research and make contacts in order to bring viable solutions to the forefront recent 60 hours industrial hydraulics training level i level ii and hydraulic trouble shooting posses an understanding of hydraulic components and able to do troubleshooting with the ability to develop and improve hydraulic circuits from existing schematics high density packaging 3 d solid modeling large and small mechanisms sheet metal wire harness and installation control drawings working knowledge of dod std 100e dod d 1000 ansi y145m 1982 asme y145 1994 standards specifications additional information honors and achievements presidents list 40 gpa two semesters deans list academic scholarship honorary draftsperson of the year 1986 member national honor society while attending south plains college maintained a 40 gpa at national college received spot award honored with you make a difference and two letters of commendation during employment at honeywell defense avionics div skills extremely computer literate and proficient in the use of microsoft suites word excel autodesk inventor pro 2012 routed systems tube and pipe and autodesk vault professional 2102 certification in pro engineer creo computervision 3 d personal designer cadds4x sunhardware autocad r2002 solidworks fastcad procad
DESIGNER,technical designer summary special qualifications textile engineering knitting and garment manufacturing textile printing and finishing yarn and fabric dyeing spinning and weaving textile construction and embroidery textile testing highlights cad photoshop illustrator and accutrac technical packets garment construction and fit computerized and manual pattern making garment embellishment draping and sewing fashion illustrations manual and computerized merchandise line development trend color analysis understanding of target customer markets experience technical designer 01 2015 to current company name city state created 65 complete development and production technical packages including spec sheets in 1 week developed a pattern with grade rules for production of sample garments with accuracy coordinated 8 different manufacturing tasks that led to over 30000 unites of production supervised the creation of garments including fitting detailing and adaptations sourced selected and bought fabrics trims fastenings and embellishments approved quality for all trims creates fit comments for production and communicates fit corrections to overseas in timely manner notified factories of construction quality issues and provides recommendations on corrections negotiated with customers and suppliers and oversee production provided input to design and sourcing teams regarding cost engineering collaborated with designer a merchandiser manager and business partner to ensure the desired product is achieved while retaining production schedule saved 60000 units of production by coming up with an effective solution for a design fault assistant designer technical designer 06 2014 to 12 2014 company name city state vintage casual sportswear dresses and sweaters created an idea and produce a complete design by hand or using computer aided design cad created complete development and production technical packages including spec sheets created inspirational presentation materials for trend color and product assortments provided research ideas that reflect the trends but also which reflect the integrity and aesthetics of the brand by creating design boards color sketches and fabric detail managed all deadlines within development production calendar provided and confirm the gauges and knit downs for full fashion sweaters managed design meetings photo shoots and meetings with customers and fabric agents seek creative solutions when specing garments tech pack executions assistant designer technical designer 04 2013 to 04 2014 company name city state created tech packs and line sheets for import and domestic styles managed track of current styles through software called accutrac applied illustrator and photoshop proficiency to create and refine sketches updated boms catalog samples and maintain textile and pattern libraries supported design team with all key aspects of design process from creation to adoption provided fit comments to the factories overseas china and india provided accurate specs for the garment sourced fabric and trims prepared for design meetings which includes preparation for mood boards color boards fabric board design board with all technical drawings and collecting samples assistant designer 07 2010 to 08 2012 company name city state casual sportswear dresses and sweaters assisted in designing all types of womens casual sportswear dresses and sweaters education masters business administration united states university city state business administration organizational behavior data information systems management and hr administration masters fashion design march 2014 fidm fashion institute of design merchandising city state gpa cum laude fashion design cum laude pattern making garment construction computer aided designing technical drawing and draping and sewing bachelors of engineering textile technology june 2010 rgpv university city state india gpa magna cum laude textile technology magna cum laude knitting and garment construction fabric construction woven and knits fabric printing and finishing and textile testing gimatex industries pvt ltd maharashtra india spinning weaving and garment construction trained in manufacturing the yarn utilizing that yarn to fabricate fabric lastly utilizes that fabric to design a garment paper on technical textiles this paper presents different type of technical textiles their manufacturing finishing and end uses skills photo photoshop cad catalog color designing fashion drawing hr illustrator information systems materials meetings organizational design process quality research collecting samples trend type
DESIGNER,forms designer professional summary professionally trained job title with experience ensuring high standards of culturally competent care for wide variety of patients with diverse needs responsible job title with excellent communication skills demonstrated by number years of experience in healthcare skills strong clinical judgment safe ng tube insertion and removal high level of autonomy thorough physical assessments patient family focused tracheotomy care patient evaluation intervention foley catheter insertion removal familiarity professional bedside manner insulin medication assistance adept at prioritizing managing deadlines work history forms designer 01 2007 to 01 2010 company name city state assessed need for ordered obtained and interpreted appropriate lab tests conducted mandated health screenings physicals and special education assessments in number schools with number students ensured external follow up where required chronic patient care in med surg unit adeptly handling all aspects of treatment from medication to wound care to monitoring for number patients per shift primary care assessment and evaluation of neonatal and pediatric patients counseled and educated patients about reproductive health issues and wellness expertise in stds hiv and family planning led cna training program and conducted classes for prospective cnas oversaw the training of number students annually organized and led number support groups per time period in subjects related to physical and emotional health to ensure long term patient well being organized and led number support groups per time period in subjects related to physical and emotional health to ensure long term patient well being charge nurse on neonatal and pediatric floor oversaw average of number patients per shift oversaw and managed number clinical and support staff in patient care activities while maintaining a high level of staff morale and professionalism directed the new hire lpn program recruited hired led training and managed budget for class of number students annually effectively supervised number lvns nas and non clinical staff improved annual employee retention rate from number to number percent examined patients and dispensed contraceptives and other medications as needed pharmacological and non pharmacological management and treatment of various disorders and diseases self directed with astute judgment skills high level of personal accountability wrote successful grant for amount from source for topic effective counseling in health maintenance and disease management increased unit productivity for a 29 bed surgical unit processed monthly reports for department performance managed care for post operative patients through discharge performed lab tests and communicated results liaised between patients and physicians to ensure patient comprehension of treatment plans instructed patients and family members on proper discharge care closely monitored acute conditions initiated hospital wide study to identify areas for process improvement monitored patient reactions to drugs and carefully documented progress of individuals participating in clinical trials demonstrated ability to lead and motivate outstanding healthcare teams contributed substantially to successful department jcaho accreditation ensured hipaa compliance ensured proper care for victims of domestic violence who presented to urgent care clinic diagnosed and treated patients with chronic and acute health problems such as mi arrhythmias asthma copd and pneumonia provided dhs department of health services with corrective action plans coordinated quality improvement activities qias to identify performance areas for improvement participated in unit based quality assurance program developed and implemented nursing care plans made appropriate interventions by reading and interpreting fetal heart monitors developed patient care plans including assessments evaluations and nursing diagnoses documented patient information obtained from interviews performed basic physical assessments of newborns and infants delegated staff nurse duties effectively managed clinical oversight for 44 bed unit provided on call care at all times of day and night ensured efficacy of treatments through monitoring of treatment regimens trained new staff on quality control procedures followed infection control procedures assisted patients with daily functions monitored fluid intake and output levels extensive experience working in homes with disabled children and adults measured urine and delivered specimens to lab provided all daily living tasks to enhance quality of life for elderly patients performed pregnancy tests and sent specimens for laboratory testing assisted residents with bathing dressing feeding lifting and transferring experience with various medical conditions including parkinsons dementia diabetes cancer alzheimers and pagets disease assisted doctors with surgeries and non invasive procedures authorized drug refills and provided detailed prescription information to pharmacies collected blood tissue and other laboratory specimens and prepared them for lab testing developed and produced all office flyer notifications for important policy changes office news and events maintained all confidential personnel files license and cpr compliance records performed monthly inventory and maintained office and medical supply counts routinely retracted patient throat cultures and prepared for lab submission scheduled patient admissions and discharges specialized in the nursing care of patients with chemical dependency strong leader for nursing personnel assigned to the unit shift forms designer 01 2005 to 01 2007 company name city state as a contract designer who utilized quarkxpress and adobes creative suite created business documents specifically for use with expedatas digital pen and paper applications experience included both the redesign of existing documents and the crafting of unique files tailored to accurately capture handwriting interpretation other job functions included graphic designer 01 2001 to 01 2004 company name city state utilized adobe creative suite quarkxpress and companys proprietary software to produce business forms essential documents and custom collateral from concept to production ready compositions key achievements managed company wide rebranding and graphic standards for abn amro a global banking corporation and subsidiaries standard federal and lasalle bank resulting in 30000 of revenue created design specifications for abn amros core teller project allowing client to capture handwritten data on deposit and withdrawal slips to be recognized by image character recognition software generated 25000 in revenue managed design workflow and specifications simultaneously for comerica bank and detroit medical group client services specialist 01 2000 to 01 2001 company name city state advised clients and vendors on companys products met client expectations by communicating business objectives and reviewing results with client vendors and production team in a timely fashion worked with team to train on standards and procedures created presentations for client visits key achievements trained fellow employees on pander do not mail file and deceased file processing step necessary for the ethical and efficient use of their resources produced training pamphlet containing specific database procedural steps trained over 20 members of national publishing clients customer service staff on team processing which afforded better communication and increased confidence in our services increased sales by 10 coordinated and prioritized several simultaneous projects and monitored entire job processing analyzed reports and job runs to ensure data integrity increased job efficiency by 10 and eliminated past due accounts forms designer 01 2001 to 01 2004 company name city state strong leader for nursing personnel assigned to the unit shift client services specialist 05 2000 to 09 2001 company name city state routinely retracted patient throat cultures and prepared for lab submission education bachelor of science nursing 12 2014 northern illinois university city state nursing recipient of scholarship name scholarship graduated magna cum laude master of fine arts painting sculpture 1 1996 northern illinois university city state painting sculpture bachelor of arts studio art painting drawing art history and chemistry 1 1992 loras college city state studio art painting drawing art history and chemistry professional nursing foundations of nursing foundations of nursing clinical pathophysiology health assessment health human sciences 1 2012 gpa sigma theta tau international honor society of nursing rosanne krcek frank nursing student scholarship health human sciences affiliations american nurses association ana member certifications registered nurse in state license number number year advanced cardiac life support acls certification year to present skills adobe advertising assembly banking hardware concept client clients customer service database documentation fashion forms graphic image in design insurance interpretation logo creation mental health mail nursing i nursing pdf pen postscript presentations coding quarkxpress research sales sigma unique workflow
